Cidade,Estado,Longitude,Latitude 
Aparecida de Goiânia,GO,-16.822674300000006,-49.2452546
Aparecida do Rio Doce,GO,-18.2969359,-51.1457831
Aparecida do Rio Negro,TO,-9.941386,-47.963753000000004
Aparecida do Taboado,MS,-20.087275,-51.096135
Aperibé,RJ,-21.62119280000001,-42.1028167
Apiacá,ES,-21.1684,-41.5338
Apiacás,MT,-9.539809,-57.458677
Apiaí,SP,-24.510819,-48.844271
Apicum-Açu,MA,-1.4618950000000002,-45.094103999999994
Apiúna,SC,-27.037492999999998,-49.388506
Apodi,RN,-5.6613267,-37.796727600000004
Aporá,BA,-11.657708,-38.081418
Aporé,GO,-18.9607289,-51.9231841
Apuarema,BA,-13.854241,-39.750147999999996
Apucarana,PR,-23.549961,-51.463485999999996
Apuiarés,CE,-3.945057,-39.43593
Apuí,AM,0.0,0.0
Aquidabã,SE,-10.278042999999998,-37.014768
Aquidauana,MS,-20.473969,-55.7821375
Aquiraz,CE,-3.9063524,-38.3877096
Arabutã,SC,-27.1591876,-52.1434252
Aracaju,SE,-10.92332961,-37.08941953
Aracati,CE,-4.558259,-37.767894
Aracatu,BA,-14.427985999999999,-41.464783000000004
Araci,BA,-11.325316,-38.958385
Aracitaba,MG,-21.3425,-43.378611
Aracoiaba,CE,-4.36872,-38.812512
Aracruz,ES,-19.824,-40.2726
Aragarças,GO,-15.895459900000002,-52.237231099999995
Aragoiânia,GO,-16.914638800000002,-49.4499148
Aragominas,TO,-7.1600509999999975,-48.529096
Araguacema,TO,-8.807547,-49.556886
Araguaiana,MT,-15.729144,-51.834112
Araguainha,MT,-16.857016,-53.031778
Araguanã,MA,0.0,0.0
Araguanã,TO,0.0,0.0
Araguapaz,GO,-15.090852900000002,-50.631511100000004
Araguari,MG,-18.6492,-48.1877
Araguatins,TO,0.0,0.0
Araguaçu,TO,-12.928934,-49.823134
Araguaína,TO,-7.192375,-48.204402
Araioses,MA,-2.890914,-41.904993
Aral Moreira,MS,-22.93846700000001,-55.633451
Aramari,BA,-12.088399,-38.496937
Arambaré,RS,-30.9133903,-51.4992795
Arame,MA,-4.88347,-46.003201000000004
Aramina,SP,-20.088151999999997,-47.787251
Arandu,SP,-23.138559,-49.048660999999996
Arantina,MG,-21.911667,-44.255833
Arapeí,SP,-22.671744,-44.444127
Arapiraca,AL,-9.7549,-36.6616
Arapoema,TO,-7.654634,-49.063702
Araponga,MG,-20.666667,-42.520556
Arapongas,PR,-23.415295999999998,-51.42592
Araporã,MG,-18.4289423,-49.1866302
Arapoti,PR,-24.154798,-49.828453
Araputanga,MT,-15.4707921,-58.34667260000001
Arapuá,MG,0.0,0.0
Arapuã,PR,-24.313181,-51.785637
Araquari,SC,-26.375408,-48.718825
Arara,PB,-6.822234,-35.745252
Araranguá,SC,-28.935453499999998,-49.48564860000001
Araraquara,SP,-21.79600459,-48.174704999999996
Araras,SP,-22.3569,-47.3842
Ararendá,CE,-4.745667,-40.83099
Arari,MA,-3.452136,-44.76645900000001
Araricá,RS,-29.616832000000002,-50.92912800000001
Araripe,CE,-7.213195,-40.135894
Araripina,PE,-7.5707330000000015,-40.494025
Araruama,RJ,-22.8751,-42.3413
Araruna,PR,0.0,0.0
Araruna,PB,-6.5321717,-35.7398007
Arataca,BA,-15.265099,-39.419017
Aratiba,RS,-27.397787,-52.297461
Aratuba,CE,-4.4122910000000015,-39.047117
Aratuípe,BA,-13.071595,-39.003763
Araucária,PR,-25.5859389,-49.404748100000006
Arauá,SE,-11.262680699999999,-37.629189200000006
Araxá,MG,-19.592776999999998,-46.940554999999996
Araçagi,PB,-6.843739,-35.373667
Araçariguama,SP,-23.438610999999998,-47.061389
Araças,BA,0.0,0.0
Araçatuba,SP,-21.207647899999998,-50.4401061
Araçaí,MG,-19.200833,-44.2475
Araçoiaba,PE,-7.783911,-35.080897
Araçoiaba da Serra,SP,-23.502901,-47.616605
Araçu,GO,-16.356305900000002,-49.6804241
Araçuaí,MG,-16.851667000000006,-42.068056
Araújos,MG,-19.948055,-45.165556
Arceburgo,MG,-21.364444,-46.939721999999996
Arco-Íris,SP,-21.772797,-50.466018
Arcos,MG,-20.282223000000002,-45.539444
Arcoverde,PE,-8.415192,-37.057748
Areado,MG,0.0,0.0
Areal,RJ,-22.231492199999998,-43.1056264
Arealva,SP,-22.031026,-48.913511
Areia,PB,-6.968055099999999,-35.69953070000001
Areia Branca,RN,0.0,0.0
Areia Branca,SE,-10.7588,-37.311
Areia de Baraúnas,PB,-7.109980999999999,-36.954941
Areial,PB,-7.050130599999999,-35.9245244
Areias,SP,0.0,0.0
Areiópolis,SP,-22.667216,-48.668052
Arenápolis,MT,-14.4610369,-56.8432806
Arenópolis,GO,-16.383725899999998,-51.5562801
Argirita,MG,-21.61,-42.835555
Aricanduva,MG,0.0,0.0
Arinos,MG,-15.917223000000002,-46.106111
Aripuanã,MT,-10.172262,-59.456815
Ariquemes,RO,-9.9080067,-63.0323361
Ariranha,SP,-21.187160000000002,-48.790418
Ariranha do Ivaí,PR,-24.385707999999997,-51.583935
Armazém,SC,-28.244812,-49.021506
Armação dos Búzios,RJ,-22.7465665,-41.8821098
Arneiroz,CE,-6.316498999999999,-40.165285
Aroazes,PI,-6.110221,-41.78218
Aroeiras,PB,-7.5475166,-35.70839539999999
Aroeiras do Itaim,PI,0.0,0.0
Arraial,PI,-6.650753,-42.541809
Arraial do Cabo,RJ,-22.9663395,-42.027575
Arraias,TO,-12.92867,-46.935891
Arroio Grande,RS,-32.232657,-53.08615500000001
Arroio Trinta,SC,-26.925655,-51.340719
Arroio do Meio,RS,-29.401353000000004,-51.955735
Arroio do Padre,RS,-31.435119,-52.415301
Arroio do Sal,RS,-29.543871999999997,-49.889537
Arroio do Tigre,RS,-29.334829,-53.09662700000001
Arroio dos Ratos,RS,-30.087545000000002,-51.727478999999995
Artur Nogueira,SP,-22.572737,-47.172678999999995
Aruanã,GO,-14.916603899999998,-51.075008000000004
Arujá,SP,-23.396476,-46.319983
Arvoredo,SC,-27.074816,-52.45426
Arvorezinha,RS,-28.873690000000003,-52.17808
Arês,RN,-6.1967049,-35.162504999999996
Ascurra,SC,-26.956997499999996,-49.376775200000004
Aspásia,SP,-20.160028,-50.728046
Assaré,CE,-6.866897,-39.868871999999996
Assaí,PR,-23.369679,-50.845925
Assis,SP,-22.6611356,-50.41126
Assis Brasil,AC,-10.9409203,-69.5672108
Assis Chateaubriand,PR,-24.416826,-53.521327
Assunção,PB,-7.0733960000000025,-36.7274003
Assunção do Piauí,PI,-5.864996,-41.038851
Astolfo Dutra,MG,-21.314722,-42.861944
Astorga,PR,-23.231827,-51.666777
Atalaia,PR,0.0,0.0
Atalaia,AL,-9.511898,-36.008552
Atalaia do Norte,AM,-4.370551,-70.1967
Atalanta,SC,-27.421915999999996,-49.778863
Ataléia,MG,-18.0425,-41.109722
Atibaia,SP,-23117.0,-46.5503
Atilio Vivacqua,ES,-20.9172,-41.2096
Augustinópolis,TO,-5.468629,-47.886266
Augusto Corrêa,PA,-1.0231622999999999,-46.636120500000004
Augusto Pestana,RS,-28.517249,-53.988292
Augusto Severo,RN,-5.867440900000001,-37.31346679999999
Augusto de Lima,MG,-18.108611,-44.266667
Aurelino Leal,BA,0.0,0.0
Auriflama,SP,-20.683621,-50.55719000000001
Aurilândia,GO,-16.677259900000006,-50.4641231
Aurora,CE,0.0,0.0
Aurora,SC,-27.309786,-49.629525
Aurora do Pará,PA,-2.1323199,-47.558436
Aurora do Tocantins,TO,-12.71045,-46.407604
Autazes,AM,-3.5833283,-59.13015179999999
Avanhandava,SP,-21.458416,-49.950893
Avaré,SP,-23.106732,-48.925052
Avaí,SP,-22.151409,-49.335596
Aveiro,PA,-3.608415,-55.31994
Avelino Lopes,PI,-10.134487,-43.956305
Avelinópolis,GO,-16.4672409,-49.7578661
Axixá,MA,-2.839385,-44.061966999999996
Axixá do Tocantins,TO,-5.612747,-47.770070000000004
Açailândia,MA,-4.951021599999999,-47.495786100000004
Açu,RN,-5.5847972000000015,-36.9089176
Açucena,MG,-19.073056,-42.546665999999995
Babaçulândia,TO,-7.209227,-47.761257
Bacabal,MA,-4.229131099999999,-44.782945299999994
Bacabeira,MA,-2.9645189999999997,-44.316373
Bacuri,MA,-1.6965009999999998,-45.132839000000004
Bacurituba,MA,-2.709998,-44.732877
Bady Bassitt,SP,-20.9196665,-49.4387403
Baependi,MG,-21.959167,-44.89
Bagre,PA,-1.900565,-50.19869
Bagé,RS,-31.331,54.107
Baianópolis,BA,0.0,0.0
Baixa Grande,BA,0.0,0.0
Baixa Grande do Ribeiro,PI,-7.849031,-45.218977
Baixio,CE,0.0,0.0
Baixo Guandu,ES,-19.521283,-41.010913
Baião,PA,-2.7902119,-49.6694429
Balbinos,SP,-21.896293,-49.361906
Baldim,MG,-19.288332999999998,-43.957221999999994
Baliza,GO,-16.1966059,-52.539253099999996
Balneário Arroio do Silva,SC,-28.9869702,-49.4178423
Balneário Barra do Sul,SC,-26.4609092,-48.6047075
Balneário Camboriú,SC,-26.9927839,-48.6340576
Balneário Gaivota,SC,-29.152720000000002,-49.584092
Balneário Pinhal,RS,-30.2707643,-50.2436564
Balneário Piçarras,SC,-26.79,-48.69
Balsa Nova,PR,-25.580370000000002,-49.629079
Balsas,MA,-7.532139999999999,-46.037163
Bambuí,MG,-20.006667,-45.976667
Banabuiú,CE,-5.304544,-38.913175
Bananal,SP,-22.681932,-44.328114
Bananeiras,PB,0.0,0.0
Bandeira,MG,0.0,0.0
Bandeira do Sul,MG,-21.728056,-46.385555
Bandeirante,SC,-26.770498999999997,-53.641326
Bandeirantes,PR,0.0,0.0
Bandeirantes,MS,0.0,0.0
Bandeirantes do Tocantins,TO,-7.756125,-48.583566999999995
Bannach,PA,-7.347786,-50.395853
Banzaê,BA,-10.578783999999999,-38.621243
Baraúna,PB,0.0,0.0
Baraúna,RN,0.0,0.0
Barbacena,MG,-21.2257,-43.7737
Barbalha,CE,-7.298203,-39.30208
Barbosa,SP,-21.265660999999998,-49.951816
Barbosa Ferraz,PR,-24.033382,-52.003963
Barcarena,PA,-1.5118719999999999,-48.619529
Barcelona,RN,-5.94284,-35.924653
Barcelos,AM,0.0,0.0
Bariri,SP,-22.072955,-48.743828
Barra,BA,0.0,0.0
Barra Bonita,SP,0.0,0.0
Barra Bonita,SC,-26.6526364,-53.4419581
Barra D'Alcântara,PI,0.0,0.0
Barra Funda,RS,-27.920467,-53.039067
Barra Longa,MG,-20.282778,-43.041389
Barra Mansa,RJ,-22.5351,-44.1667
Barra Velha,SC,-26.633820299999996,-48.683500099999996
Barra da Estiva,BA,-13.623698999999998,-41.334697
Barra de Guabiraba,PE,-8.420751,-35.658544
Barra de Santa Rosa,PB,-6.718164,-36.067069000000004
Barra de Santana,PB,-7.518085000000001,-35.991325
Barra de Santo Antônio,AL,-9.402297,-35.510083
Barra de São Francisco,ES,-18.7904,-40.9081
Barra de São Miguel,AL,-9.823274000000001,-35.885578
Barra de São Miguel,PB,0.0,0.0
Barra do Bugres,MT,-15.070160000000001,-57.18778399999999
Barra do Chapéu,SP,-24.472203,-49.023784
Barra do Choça,BA,-14.866337699999995,-40.580374600000006
Barra do Corda,MA,-5.496823,-45.248496
Barra do Garças,MT,-15.880412,-52.263953
Barra do Guarita,RS,-27.192671999999998,-53.71086700000001
Barra do Jacaré,PR,-23.116041,-50.184162
Barra do Mendes,BA,-11.802897999999999,-42.094698
Barra do Ouro,TO,0.0,0.0
Barra do Piraí,RJ,-22.470342199999997,-43.8263236
Barra do Quaraí,RS,-30.208575699999997,-57.5510078
Barra do Ribeiro,RS,-30.293884000000002,-51.301358
Barra do Rio Azul,RS,-27.406855,-52.408375
Barra do Rocha,BA,-14.199994,-39.599098
Barra do Turvo,SP,-24.759035,-48.501259999999995
Barra dos Coqueiros,SE,-10.8881951,-37.0078206
Barracão,PR,-27.673862,-51.45855
Barracão,RS,-27.673862,-51.45855
Barras,PI,-4.244675,-42.292161
Barreira,CE,-4.289206,-38.64291
Barreiras,BA,-12.1439,-44.9972
Barreiras do Piauí,PI,-9.929605,-45.470172
Barreirinha,AM,-2.7988630000000003,-57.067896999999995
Barreirinhas,MA,-2.75863,-42.823240999999996
Barreiros,PE,0.0,0.0
Barretos,SP,-20.5529,-48.57
Barrinha,SP,0.0,0.0
Barro,CE,-7.171879,-38.774133
Barro Alto,BA,0.0,0.0
Barro Alto,GO,-14.969602499999999,-48.9190985
Barro Duro,PI,0.0,0.0
Barro Preto,BA,0.0,0.0
Barrocas,BA,-11.529978,-39.078727
Barrolândia,TO,-9.834042,-48.725203
Barroquinha,CE,-3.020514,-41.13585
Barros Cassal,RS,-29.094686,-52.583571
Barroso,MG,-21.187222,-43.976110999999996
Barueri,SP,-23.5108,-46876.0
Barão,RS,-29.372474,-51.494908
Barão de Antonina,SP,-23.628419,-49.563365999999995
Barão de Cocais,MG,-19.946111,-43.486944
Barão de Cotegipe,RS,-27.620784999999998,-52.37982
Barão de Grajaú,MA,-6.744628,-43.02610900000001
Barão de Melgaço,MT,-16.20669,-55.962337
Barão de Monte Alto,MG,-21.244722,-42.2375
Barão do Triunfo,RS,-30.389072,-51.738440999999995
Bastos,SP,-21.920984,-50.735695
Bataguassu,MS,-21.715899,-52.422058
Batalha,AL,-9.674195,-37.133014
Batalha,PI,0.0,0.0
Batatais,SP,-20.892867000000006,-47.592149
Batayporã,MS,-22.294444,-53.270488
Baturité,CE,-4.3297411,-38.8822523
Bauru,SP,-22.3247,-49.0895
Bayeux,PB,-7.123797,-34.929336
Baía Formosa,RN,-6.3691885,-35.0063741
Baía da Traição,PB,-6.692086,-34.93806
Bebedouro,SP,0.0,0.0
Beberibe,CE,-4.1624988,-38.1144249
Bela Cruz,CE,-3.049964,-40.167127
Bela Vista,MS,0.0,0.0
Bela Vista da Caroba,PR,-25.884179,-53.67250500000001
Bela Vista de Goiás,GO,-16.969294899999998,-48.9513071
Bela Vista de Minas,MG,-19.829723,-43.090555
Bela Vista do Maranhão,MA,-3.726175,-45.307487
Bela Vista do Paraíso,PR,-22.993653,-51.192657000000004
Bela Vista do Piauí,PI,-7.9880910000000025,-41.867521999999994
Bela Vista do Toldo,SC,-26.274625,-50.466353999999995
Belford Roxo,RJ,-22.7637,-43.4001
Belmiro Braga,MG,-21.948889,-43.414722
Belmonte,SC,-26.842994,-53.57581
Belmonte,BA,0.0,0.0
Belo Campo,BA,0.0,0.0
Belo Horizonte,MG,-19.9227318,-43.9450948
Belo Jardim,PE,-8.3313,-36.425822
Belo Monte,AL,-9.822718,-37.277014
Belo Oriente,MG,-19.220278,-42.484165999999995
Belo Vale,MG,-20.407778,-44.024167
Belterra,PA,-2.636091,-54.937392
Belágua,MA,-3.1548540000000003,-43.51215300000001
Belém,AL,-9.570472,-36.490399
Belém,PA,0.0,0.0
Belém,PB,0.0,0.0
Belém de Maria,PE,-8.632037,-35.843099
Belém do Brejo do Cruz,PB,-6.185146,-37.534763
Belém do Piauí,PI,-7.366524000000001,-40.968786
Belém do São Francisco,PE,0.0,0.0
Beneditinos,PI,-5.456758,-42.363820000000004
Benedito Leite,MA,-7.210367999999999,-44.557705
Benedito Novo,SC,-26.780974,-49.35931400000001
Benevides,PA,-1.3555576999999999,-48.252235
Benjamin Constant,AM,0.0,0.0
Benjamin Constant do Sul,RS,-27.508565,-52.599504
Bento Fernandes,RN,-5.699057,-35.81299600000001
Bento Gonçalves,RS,-29.16541710000001,-51.52093060000001
Bento de Abreu,SP,-21.268629,-50.813959000000004
Bequimão,MA,-2.4493875,-44.785742299999995
Berilo,MG,-16.951389000000002,-42.466389
Berizal,MG,-15.6136,-41.7478
Bernardino Batista,PB,-6.443961,-38.554015
Bernardino de Campos,SP,-23.016439000000002,-49.467897
Bernardo Sayão,TO,-7.874811999999999,-48.889272999999996
Bernardo do Mearim,MA,-4.626663,-44.760753
Bertioga,SP,-23.848568,-46.139586
Bertolínia,PI,-7.633377,-43.949778
Bertópolis,MG,-17.063333,-40.573889
Beruri,AM,-3.898736,-61.361619999999995
Betim,MG,-19.9678,-44.1984
Betânia,PE,0.0,0.0
Betânia do Piauí,PI,-8.143761,-40.79891
Bezerros,PE,0.0,0.0
Bias Fortes,MG,-21.605832999999997,-43.756944
Bicas,MG,-21.715833,-43.059444
Biguaçu,SC,-27.496004,-48.65979
Bilac,SP,-21.403962,-50.47464
Biquinhas,MG,-18.783610999999997,-45.502221999999996
Birigui,SP,-21.2906,-50.3435
Biritiba-Mirim,SP,-23.569774,-46.0407
Biritinga,BA,-11.607156,-38.805054999999996
Bituruna,PR,-26.161281,-51.553331899999996
Blumenau,SC,-26.9136,-49.0688
Boa Esperança,PR,0.0,0.0
Boa Esperança,MG,0.0,0.0
Boa Esperança,ES,-18.60667,-40.4056
